wds_id,wds_dd,wds_comp,wsi_ra_deg,wsi_dec_deg,wsi_date,wsi_filter,wsi_sep,wsi_sep_e,wsi_pa,wsi_pa_e,wsi_dm,wsi_dm_e,wsi_dm_flag,wsi_nav,wsi_avg,sb_id1,sb_id2,sb_flg1,sb_flg2
23476+4650,BU  995,AB,356.8875,46.8325,2021.8765,y,0.752,0.001,246.05,0.08,2.6,0.0,q,1,1,Gaia DR3 1939381285534581504,,.,$
00049+4540,BU  997,AB,1.2375,45.6736,2020.9224,y,3.9287,0.0028,337.05,0.04,3.2,0.0,*,1,1,Gaia DR3 386648181647057152,Gaia DR3 386648181647056768,.,.
02472-1523,BU 1002,AB,41.7875,-15.3769,2022.0299,V,1.449,0.0111,359.22,0.44,3.0,0.0,:,1,1,,,$,$
02472-1523,BU 1002,AB,41.7875,-15.3769,2022.0299,y,1.4837,0.0066,357.71,0.26,2.7,0.0,:,1,1,,,$,$
04068+2856,BU 1005,AB,61.6875,28.9317,2022.0491,y,2.6342,0.0059,62.82,0.13,3.1,0.0,*,1,1,Gaia DR3 164260203897629568,Gaia DR3 164260203900883456,.,.
00206+1219,BU 1015,AB,5.1583,12.3108,2021.8838,y,0.5199,0.0065,113.1,0.22,0.7,0.0,q,6,2,Gaia DR3 2755335495932072192,,.,$
07231+2918,BU 1024,AB,110.775,29.3047,2022.1669,V,1.4941,0.0105,104.98,0.4,2.5,0.0,:,1,1,,,$,$
23078+1240,BU 1025AB,AB,346.95,12.6731,2021.8604,y,0.7782,0.0025,334.14,0.18,2.6,0.0,q,1,1,Gaia DR3 2811891384767367296,,.,$
00121+5337,BU 1026AB,AB,3.0333,53.6239,2021.7729,y,0.3196,0.0283,323.56,1.09,1.2,0.05,q,6,2,,,$,$
00121+5337,BU 1026AB,AB,3.0333,53.6239,2021.8616,y,0.2961,0.0089,315.12,0.44,1.0,0.1,q,6,2,,,$,$
00121+5337,BU 1026AB,AB,3.0333,53.6239,2021.9599,y,0.3174,0.019,324.4,1.58,1.2,0.05,q,5,2,,,$,$
05331-0143,BU 1049CD,CD,83.2708,-1.7208,2022.126,V,0.5811,0.002,297.8,0.19,1.2,0.0,:,1,1,Gaia DR3 3217181021556478208,Gaia DR3 3217181025851988608,.,.
05331-0143,BU 1049CD,CD,83.2708,-1.7208,2022.126,y,0.5759,0.0017,294.89,0.17,0.6,0.0,:,1,1,Gaia DR3 3217181021556478208,Gaia DR3 3217181025851988608,.,.
05417-0254,BU 1052,AB,85.4167,-2.8964,2021.1355,y,0.6449,0.0019,183.1,0.38,1.5,0.0816,,9,3,,,$,$
05417-0254,BU 1052,AB,85.4167,-2.8964,2021.1812,y,0.637,0.0034,181.53,0.98,1.4,0.0738,,3,1,,,$,$
08113-1256,BU 1064AC,AC,122.8167,-12.9269,2021.1485,y,31.4011,0.1095,128.12,0.2,7.1,0.0,*,1,1,Gaia DR3 5726736979617591808,Gaia DR3 5726736979614543104,.,.
08250+0926,BU 1066,AB,126.2542,9.4258,2021.2826,y,2.5042,0.0976,181.52,0.48,5.5,0.1564,*,2,1,Gaia DR3 600283973821694208,,.,$
13007+5622,BU 1082,AB,195.1792,56.3661,2021.2829,y,0.5748,0.0012,152.95,0.12,3.1,0.0,,1,1,Gaia DR3 1576850723937017216,,.,$
22361+7253,BU 1092AB,AB,339.0333,72.8808,2021.8029,y,0.3776,0.006,224.72,0.09,0.4,0.2,,6,2,Gaia DR3 2231007778225666944,,.,$
00209+1059,BU 1093,AB,5.225,10.9767,2020.9389,y,0.799,0.0006,120.29,0.04,1.8,0.0,q,1,1,Gaia DR3 2754299652899648768,Gaia DR3 2754299652898830592,.,.
00365+5831,"BU 1096AB,C","AB,C",9.15,58.5158,2021.885,y,35.4886,0.0012,240.86,0.0,1.4,0.0,*,1,1,Gaia DR3 425005606864893568,Gaia DR3 425005709942787200,.,.
01259+6808,BU 1101AB,AB,21.4792,68.1297,2021.7978,y,3.2994,0.0001,26.15,0.0,5.7,0.0,,1,1,Gaia DR3 531667443164972416,,.,$
01259+6808,BU 1101AD,AD,21.4792,68.1297,2020.9224,y,18.6452,0.0573,134.18,0.17,7.5,0.0,,2,1,Gaia DR3 531667443164972416,Gaia DR3 531667443162413312,.,.
01259+6808,BU 1101AD,AD,21.4792,68.1297,2021.7978,y,18.69,0.0003,134.4,0.0,6.9,0.0,,1,1,Gaia DR3 531667443164972416,Gaia DR3 531667443162413312,.,.
17104-1544,BU 1118AB,AB,257.5917,-15.725,2020.5434,y,0.4522,0.0046,227.2,0.47,0.9,0.1633,q,10,3,,,$,$
17104-1544,BU 1118AB,AB,257.5917,-15.725,2020.6064,y,0.4459,0.0038,227.03,0.1,0.8,0.0525,q,3,1,,,$,$
17104-1544,BU 1118AB,AB,257.5917,-15.725,2021.5419,y,0.4066,0.0024,226.29,0.56,0.9,0.0816,q,9,3,,,$,$
17104-1544,BU 1118AB,AB,257.5917,-15.725,2022.4932,y,0.3501,0.0003,224.32,0.05,1.2,0.0,q,1,1,,,$,$
23301+6503,BU 1150,AB,352.525,65.0531,2021.8002,y,0.6997,0.0014,64.97,0.12,1.0,0.0,:,1,1,,,$,$
23527+6042,"BU 1153AB,C","AB,C",358.175,60.6844,2021.8849,V,13.8607,0.0066,335.55,0.03,1.1,0.0,:,1,1,,Gaia DR3 2011849547172205824,$,.
03058+4342,BU 1175,AB,46.4417,43.7022,2020.8831,y,0.7067,0.0006,273.79,0.05,1.6,0.0,q,1,1,Gaia DR3 432916386859410688,,.,$
18261+0047,BU 1203,AB,276.5125,0.7803,2020.5357,y,0.5323,0.0004,158.66,0.04,1.0,0.0,q,1,1,Gaia DR3 4276317590231748352,,.,$
21040-1807,BU 1211,AB,316.0042,-18.1119,2021.6851,y,0.9235,0.0008,335.61,0.05,1.3,0.0,:,1,1,Gaia DR3 6881704125605443200,Gaia DR3 6881704121309616256,.,.
23453+0507,BU 1223AB,AB,356.325,5.1161,2021.8766,y,1.5976,0.0042,297.14,0.15,3.1,0.0,q,1,1,Gaia DR3 2744088763290869760,Gaia DR3 2744088763289448064,.,.
05013+2632,BU 1238,AB,75.325,26.5342,2022.0794,y,1.5429,0.0197,18.31,0.34,3.4,0.2518,:,2,1,Gaia DR3 3420435538477382400,Gaia DR3 3420435542771420544,.,.
17136-0917,BU 1247AB,AB,258.4042,-9.2836,2022.4931,y,1.4811,0.0096,340.31,0.14,2.1,0.0,*,2,1,Gaia DR3 4359554808039301760,Gaia DR3 4359554812338411392,.,.
17225+0422,BU 1248,AB,260.6125,4.3628,2020.5682,V,8.4371,0.0055,176.79,0.04,2.9,0.0,:,1,1,Gaia DR3 4389949299459527168,Gaia DR3 4389949299460255744,.,.
17420+1557,BU 1251AB,AB,265.4917,15.9519,2021.748,y,1.4766,0.0162,97.6,0.83,3.1,0.252,*,3,1,Gaia DR3 4548845321128406528,Gaia DR3 4548845325427355008,.,.
22397+6124,BU 1265AB,AB,339.9333,61.4072,2021.8001,V,39.5296,0.0029,166.22,0.0,1.0,0.0,:,1,1,,,$,$
22397+6124,BU 1265BC,BC,339.9375,61.3964,2021.8001,V,0.536,0.0033,49.52,0.36,0.1,0.0,:,1,1,Gaia DR3 2201095736195695232,,.,$
12295+2931,BU 1324AB,AB,187.375,29.5125,2022.3205,V,2.3419,0.0072,224.58,0.67,1.5,0.0591,:,2,1,Gaia DR3 4011649606521071488,Gaia DR3 4011649610817012864,.,.
08140+2708,BU 1420,AB,123.5083,27.1292,2021.154,V,19.7936,0.0291,301.27,0.08,4.4,0.0,,1,1,Gaia DR3 683600296346431360,Gaia DR3 683601052260675584,.,.
19579-0904,BU 1475AB,AB,299.4708,-9.0583,2020.683,y,10.5403,0.003,112.77,0.02,2.5,0.0,*,1,1,Gaia DR3 4192181964040123264,,.,$
00052+4514,BU 9001AC,AC,1.2875,45.2289,2021.849,y,21.2324,0.0707,235.73,0.19,5.9,0.0,*,1,1,Gaia DR3 386612584958214400,,.,$
05182+3739,BU 9002,AB,79.5417,37.65,2021.0772,y,2.6604,0.0089,68.34,0.19,1.8,0.0,*,1,1,Gaia DR3 187174266742262784,Gaia DR3 187174266738182016,.,.
03171+6705,BVD  31,AB,49.275,67.0906,2021.0387,V,53.2765,0.0073,163.54,0.01,2.0,0.0,:,1,1,,,$,$
03171+6705,BVD  31,AB,49.275,67.0906,2021.8606,y,53.0374,0.002,163.81,0.0,2.4,0.0,*,1,1,,,$,$
08213+3419,BVD 161AD,AD,125.3333,34.3097,2021.1541,y,5.097,0.0791,41.12,0.89,5.7,0.0,*,1,1,,,$,$
11317+5602,CBL  50,AB,172.9167,56.0272,2022.3012,V,20.6298,0.0163,220.22,0.2,3.3,0.0,:,1,1,,,$,$
02053+2906,CHE  39AB,AB,31.3167,29.1039,2020.9389,y,18.8024,0.0001,40.02,0.0,5.5,0.0,,1,1,,,$,$
02093+2822,CHE  63,AB,32.3458,28.3772,2021.8467,V,27.9375,0.1132,13.96,0.23,0.4,0.0,:,1,1,,,$,$
07163-0635,"CHE  84AB,C","AB,C",109.0625,-6.5831,2021.1513,V,2.0977,0.0134,246.56,0.37,1.0,0.0,:,1,1,Gaia DR3 3058037781573335296,Gaia DR3 3058037781573335424,!,.
07163-0635,"CHE  84AB,C","AB,C",109.0625,-6.5831,2021.1513,y,2.0081,0.016,248.08,0.46,0.6,0.0,:,1,1,Gaia DR3 3058037781573335296,Gaia DR3 3058037781573335424,!,.
23225+4146,CHE 439,AB,350.625,41.7675,2020.8841,V,6.3307,0.0234,16.31,0.21,4.7,0.0,q,1,1,,,$,$
23225+4146,CHE 439,AB,350.625,41.7675,2020.8841,y,6.4233,0.038,16.77,0.34,4.7,0.0,*,1,1,,,$,$
02291+6724,"CHR   6Aa,Ab","Aa,Ab",37.2625,67.4022,2021.9602,y,0.6008,0.0062,18.16,1.6,3.8,0.0,,6,2,Gaia DR3 517650349234855424,Gaia DR3 517650349234855424,!,!
15513-0305,CHR  51,AB,237.8125,-3.0903,2022.4889,y,0.3742,0.0345,62.23,1.55,2.7,0.05,q,3,2,Gaia DR3 4402884744523453312,,.,$
22373+6913,CHR 113,AB,339.3292,69.2086,2021.8001,y,0.5241,0.0014,356.04,0.16,2.4,0.0,,1,1,Gaia DR3 2226085608267475072,,.,$
04375+1509,CHR 153,AB,69.3792,15.1464,2022.0711,y,0.6468,0.0055,140.4,0.48,3.7,0.0,,1,1,Gaia DR3 3309493720019304576,,.,$
04404+1631,CHR 154,AB,70.1042,16.5136,2021.9538,y,0.5211,0.017,177.24,4.87,2.4,0.3352,:,3,1,Gaia DR3 3310104945406638464,,.,$
04404+1631,CHR 154,AB,70.1042,16.5136,2022.085,y,0.5233,0.0191,176.09,2.15,2.7,0.1016,:,3,1,Gaia DR3 3310104945406638464,,.,$
13155+4051,CHR 180,AB,198.8833,40.855,2021.3567,y,0.6807,0.0056,68.82,0.47,4.2,0.0,,1,1,Gaia DR3 1524888216726645248,,.,$
15496-0326,CHR 259,AB,237.4042,-3.43,2022.4957,y,0.4332,0.0048,310.44,0.78,1.8,0.0293,q,3,1,Gaia DR3 4402474042572385536,,.,$
21402-1826,COO 243,AB,190.0458,-18.4325,2020.6314,V,4.8702,0.0066,65.38,0.08,1.0,0.0,*,1,1,Gaia DR3 6830815875613635712,Gaia DR3 6830815875613635584,.,.
13064+2109,COU  11AB,AB,196.5875,21.1533,2022.3259,y,1.8062,0.0017,315.39,0.05,3.2,0.0,*,1,1,Gaia DR3 3943394845252502144,Gaia DR3 3943394849541966848,.,.
01186+1853,COU  34,AB,19.6375,18.8814,2021.9533,y,10.843,0.0049,24.16,0.03,1.0,0.0,:,1,1,,Gaia DR3 2786005238917193600,$,.
08082+2106,COU  91AB,AB,122.0542,21.105,2022.1397,V,10.816,0.0094,143.99,0.05,2.2,0.0,:,1,1,Gaia DR3 676689831406224128,Gaia DR3 676689831406224384,.,.
13109+2114,COU  96AB,AB,197.7167,21.2336,2021.4279,V,10.7216,0.0216,309.98,0.12,5.3,0.0,,1,1,Gaia DR3 3943177318038447104,Gaia DR3 3943177318038447232,.,.
10140+2227,"COU 169Aa,Ab","Aa,Ab",153.5042,22.4561,2022.334,V,0.4728,0.04,192.381,4.76,0.0,0.0,:,3,1,,,$,$
11065+2355,COU 293,AB,166.6125,23.9114,2021.2992,V,2.0654,0.0037,61.12,0.1,1.0,0.0,:,1,1,,,$,$
14525+2348,COU 305,AB,223.1208,23.8011,2021.3623,y,3.6829,0.0233,65.36,0.36,5.6,0.0,*,1,1,Gaia DR3 1266150522001655808,,.,$
05563+2005,COU 375,AB,89.0833,20.0817,2022.1067,V,0.9692,0.0078,117.92,0.46,1.4,0.0,:,1,1,,,$,$
05563+2005,COU 375,AB,89.0833,20.0817,2022.1067,y,1.1915,0.0122,118.46,0.59,0.6,0.0,:,1,1,,,$,$
11425+2355,COU 390,AB,175.625,23.9061,2022.3014,V,0.4041,0.0213,113.97,1.91,1.6,0.0129,:,2,1,Gaia DR3 4004906065485481344,,.,$
11425+2355,COU 390,AB,175.625,23.9061,2022.3179,y,0.4314,0.0096,115.33,1.1,1.3,0.0,:,4,2,Gaia DR3 4004906065485481344,,.,$
00511+2853,COU 447,AB,12.7792,28.8756,2021.9368,V,0.8817,0.0062,35.72,0.4,1.6,0.0,:,1,1,Gaia DR3 311884277174383744,Gaia DR3 311884277174905472,.,.
00511+2853,COU 447,AB,12.7792,28.8756,2021.9368,y,0.8688,0.0596,36.13,3.93,2.9,0.0,:,1,1,Gaia DR3 311884277174383744,Gaia DR3 311884277174905472,.,.
05461+1921,COU 576,AB,86.5333,19.3414,2022.1066,V,1.3885,0.005,229.02,0.21,1.3,0.0,:,1,1,Gaia DR3 3399262758456268544,,.,$
05461+1921,COU 576,AB,86.5333,19.3414,2022.1066,y,1.4476,0.0268,234.92,1.06,2.0,0.0,:,1,1,Gaia DR3 3399262758456268544,,.,$
07181+2405,COU 585,AB,109.5125,24.0772,2022.2189,y,0.4108,0.0013,150.1,0.18,1.7,0.0,,1,1,Gaia DR3 869704459098335872,,.,$
00270+3058,COU 653,AB,6.7417,30.9631,2021.9505,y,0.5071,0.0016,77.43,0.18,1.0,0.0,:,1,1,,,$,$
01217+3238,COU 665,AB,20.4292,32.6394,2021.8223,V,1.0242,0.004,176.8,0.22,2.7,0.0,,1,1,Gaia DR3 316689452226100352,,.,$
01217+3238,COU 665,AB,20.4292,32.6394,2021.8223,y,1.1127,0.0035,172.71,0.18,2.7,0.0,,1,1,Gaia DR3 316689452226100352,,.,$
04048+2612,COU 702,AB,61.1917,26.2006,2020.9407,V,7.1446,0.259,91.59,2.08,4.4,0.0,*,1,1,Gaia DR3 162524143759934848,,.,$
04048+2612,COU 702,AB,61.1917,26.2006,2020.9407,y,7.169,0.2325,92.6,0.84,3.7,0.5517,*,2,1,Gaia DR3 162524143759934848,,.,$
09025+2117,COU 775,AB,135.6167,21.2772,2021.299,V,0.4435,0.0013,85.33,0.17,0.2,0.0,:,1,1,Gaia DR3 684826281874892800,Gaia DR3 684826286169854464,.,.
16216+3631,COU 982,AB,245.3958,36.5119,2022.4928,y,0.4393,0.0024,263.56,1.91,0.0,0.0,:,3,1,,,$,$
01437+3705,COU1063,AB,25.9292,37.0817,2021.8769,y,0.6317,0.003,206.83,0.27,1.0,0.0,:,1,1,Gaia DR3 319414729234886272,Gaia DR3 319414729233831936,.,.
04395+3408,COU1085,AB,69.875,34.1292,2021.9536,y,0.5657,0.019,245.98,2.26,1.3,0.0261,:,3,1,Gaia DR3 173711807712988160,,.,$
04395+3408,COU1085,AB,69.875,34.1292,2022.102,y,0.569,0.0235,254.58,2.4,1.1,0.1414,:,9,3,Gaia DR3 173711807712988160,,.,$
07318+3151,COU1414,AB,112.9542,31.8578,2022.1096,y,2.0349,0.0195,185.14,1.16,2.1,0.228,:,2,1,,,$,$
23545+4408,COU1497,AB,358.6167,44.1386,2021.8765,V,0.4132,0.0016,211.99,0.23,0.6,0.0,:,1,1,,,$,$
23545+4408,COU1497,AB,358.6167,44.1386,2021.8765,y,0.3904,0.0061,209.2,0.89,1.3,0.0,:,1,1,,,$,$
19319+3323,COU1621,AB,292.975,33.3772,2020.631,V,2.0467,0.0016,295.57,0.05,2.5,0.0,*,1,1,,,$,$
06577+4051,COU2060,AB,104.4167,40.8497,2022.1232,V,1.253,0.0282,228.46,1.29,0.9,0.0,:,1,1,Gaia DR3 950720599001043968,,.,$
07139+3808,COU2065AB,AB,108.5917,38.1319,2022.2189,V,0.7082,0.0083,106.32,0.67,2.2,0.0,:,1,1,Gaia DR3 946385838831836544,,.,$
03166+4943,"COU2164Aa,Ab","Aa,Ab",49.1458,49.7281,2021.9535,V,0.8189,0.0001,243.51,0.0,1.9,0.0,:,1,1,Gaia DR3 436532573226230912,Gaia DR3 436532573226230912,!,!
03166+4943,"COU2164Aa,Ab","Aa,Ab",49.1458,49.7281,2021.9535,y,0.8841,0.0006,239.44,0.04,7.5,0.0,:,1,1,Gaia DR3 436532573226230912,Gaia DR3 436532573226230912,!,!
01038+5212,COU2257,AB,15.9417,52.1986,2021.8466,V,0.3868,0.0009,97.57,0.14,0.0,0.0,,1,1,,,$,$
01038+5212,COU2257,AB,15.9417,52.1986,2021.8466,y,0.4019,0.0019,101.18,0.28,1.8,0.0,:,1,1,,,$,$
22042+4821,COU2323AB,AB,331.0583,48.3447,2021.8218,V,1.6284,0.0001,23.7,0.0,1.9,0.0,:,1,1,,,$,$
07282+3944,COU2378,AB,112.0458,39.7531,2022.2189,V,1.3627,0.0099,249.28,0.42,2.1,0.0,:,1,1,,,$,$
08003+3953,COU2381,AB,120.0583,39.8975,2022.2189,V,1.597,0.011,75.91,0.39,2.3,0.0,:,1,1,,,$,$
04245+5051,COU2459AB,AB,66.1333,50.845,2022.071,y,1.1482,0.0022,127.21,0.11,2.2,0.0,*,1,1,Gaia DR3 271083015576372096,Gaia DR3 271083015579870464,.,.
13081+2325,COU2708,AB,197.0167,23.4117,2022.3259,V,3.9208,0.0036,77.91,0.05,2.0,0.0,:,1,1,Gaia DR3 3944827169595521792,Gaia DR3 3944827169595521920,.,.
13081+2325,COU2708,AB,197.0167,23.4117,2022.3259,y,3.8385,0.0074,78.16,0.11,1.6,0.0,*,1,1,Gaia DR3 3944827169595521792,Gaia DR3 3944827169595521920,.,.
04330-1633,CRI   7AB,AB,68.2333,-16.5342,2021.0363,V,39.1426,0.0071,157.86,0.01,1.1,0.0,:,1,1,Gaia DR3 3171512329357353600,Gaia DR3 3171511573443110144,.,.
04330-1633,CRI   7AB,AB,68.2333,-16.5342,2021.0363,y,39.105,0.0093,157.87,0.01,0.9,0.0,:,1,1,Gaia DR3 3171512329357353600,Gaia DR3 3171511573443110144,.,.
03261+2015,CTT   6AC,AC,51.5125,20.2456,2021.0387,V,50.8682,0.0265,127.54,0.03,2.0,0.0,:,1,1,Gaia DR3 57939765955708160,Gaia DR3 57939559797278080,.,.
02053+2906,CTT  12AC,AC,31.3167,29.1039,2020.9389,y,64.7417,0.0001,73.65,0.0,5.7,0.0,,1,1,,,$,$
08105-0332,"CVR   2AB,C","AB,C",122.6167,-3.5394,2022.1397,V,25.1976,0.0044,175.6,0.01,0.6,0.0,:,1,1,,,$,$
01450+5711,D     3,AB,26.25,57.1983,2021.9151,V,3.0422,0.0251,333.16,0.47,1.7,0.0,*,1,1,,,$,$
07058-1040,D    12AB,AB,106.4542,-10.66,2021.1512,y,6.7818,0.2418,283.3,0.46,5.4,0.85,*,3,2,Gaia DR3 3046470472570724736,Gaia DR3 3046470472571824640,.,.
07058-1040,D    12AB,AB,106.4542,-10.66,2022.0796,y,6.5982,0.0101,279.08,3.45,7.4,0.15,*,2,2,Gaia DR3 3046470472570724736,Gaia DR3 3046470472571824640,.,.
21485+6137,D    33AB,AB,327.1208,61.6153,2021.7154,y,3.4746,0.0024,131.57,0.04,1.4,0.0,*,1,1,,,$,$
05359-0538,DA    3,AB,83.975,-5.6283,2021.0583,V,0.8578,0.0028,171.75,0.19,1.5,0.0,,1,1,,,$,$
05359-0538,DA    3,AB,83.975,-5.6283,2022.1259,y,0.8422,0.0061,171.72,0.11,1.2,0.0314,q,2,1,,,$,$
01201+4357,DA    8,AB,20.0333,43.9525,2020.883,y,2.6438,0.0013,142.41,0.03,1.6,0.0,*,1,1,,,$,$
01201+4357,DA    8,AB,20.0333,43.9525,2021.9369,y,2.67,0.0037,142.3,0.08,1.5,0.0,*,1,1,,,$,$
09065+5444,DAL  30,AB,136.6125,54.7328,2022.1399,y,20.7877,0.0115,13.36,0.03,2.2,0.0,:,1,1,,,$,$
04499+0929,DAM1323,AB,72.4833,9.4894,2021.0937,y,8.8195,0.0257,31.24,0.17,4.4,0.0,:,1,1,,,$,$
07508-1854,DAW  29AB,AB,117.7083,-18.9094,2021.2168,y,5.6129,0.0017,192.11,0.02,0.3,0.0,*,1,1,Gaia DR3 5717398174534062208,Gaia DR3 5717398174534063360,.,.
19003+4835,DEA 191,AB,285.0917,48.5836,2021.4911,V,8.9815,0.0054,78.23,0.03,1.2,0.0,:,1,1,,,$,$
20289-1749,DOB  13DE,DE,307.25,-17.8753,2020.6832,y,53.4854,0.0703,92.94,0.08,6.1,0.0,*,1,1,Gaia DR3 6860943834249292800,Gaia DR3 6860943799889549056,.,.
20397+6325,DOB  15,AB,309.9417,63.4303,2020.6805,V,3.0908,0.006,89.58,0.11,2.5,0.0,:,1,1,,,$,$
03282+1710,DOO  29,AB,52.0375,17.1675,2020.9433,V,20.5107,0.0875,211.18,0.24,6.1,0.0,*,1,1,Gaia DR3 55035405990937216,Gaia DR3 55035371631198976,.,.
16546-0609,DSG   1AB,AB,253.6458,-6.1539,2021.4554,y,0.4558,0.0041,263.69,0.52,4.2,0.0,,1,1,,,$,$
00013+0742,DU    4AB,AB,0.3333,7.7014,2021.8549,y,15.1606,0.0018,264.1,0.01,1.4,0.0,*,1,1,Gaia DR3 2746675845432075520,Gaia DR3 2746675845432075136,.,.
08090+3249,DYR   1AB,AB,122.2333,32.8197,2022.0796,V,13.738,0.0443,238.87,0.18,3.4,0.0,:,1,1,Gaia DR3 902175202130167936,Gaia DR3 902175030329924608,.,.
08090+3249,DYR   1AB,AB,122.2333,32.8197,2022.0796,y,13.8863,0.0184,239.64,0.08,2.3,0.0,:,1,1,Gaia DR3 902175202130167936,Gaia DR3 902175030329924608,.,.
01311+4337,ES    4,AB,22.7708,43.6206,2020.939,y,2.6899,0.0029,100.01,0.06,1.6,0.0,*,1,1,Gaia DR3 396525678715991680,Gaia DR3 396525678715991808,.,.
21406+5419,ES   35AB,AB,325.1625,54.3247,2021.8055,V,8.5186,0.0003,217.57,0.0,5.2,0.0,,1,1,Gaia DR3 2174336062728231040,Gaia DR3 2174336062725810560,.,.
21406+5419,ES   35AC,AC,325.1625,54.3247,2021.8055,V,18.1066,0.0001,28.78,0.0,4.1,0.0,,1,1,Gaia DR3 2174336062728231040,Gaia DR3 2174336062725809152,.,.
00229+5420,ES   42,AB,5.7125,54.3289,2020.9402,y,6.9077,0.0076,209.22,0.06,2.9,0.0,*,1,1,Gaia DR3 419632053019972480,Gaia DR3 419631949942962560,.,.
04422+5845,ES   56,AB,70.5583,58.7581,2020.9216,y,9.4722,0.006,206.12,0.04,2.3,0.0,:,1,1,,Gaia DR3 278798834128128896,$,.
05215+4050,ES   60,AB,80.375,40.8347,2021.0582,V,6.2094,0.0053,91.32,0.27,0.1,0.0,*,2,1,Gaia DR3 194821782430455168,Gaia DR3 194821782430453376,.,.
19461+4458,ES   83,AB,296.5375,44.9861,2021.7016,V,7.2236,0.0024,210.1,0.15,0.8,0.1801,:,2,1,,,$,$
00310+5539,ES  116,AB,7.7542,55.6528,2020.9402,V,7.4002,0.0029,256.93,0.02,1.4,0.0,:,1,1,Gaia DR3 421265240102120960,Gaia DR3 421265240102120832,.,.
00310+5539,ES  116,AB,7.7542,55.6528,2020.9402,y,7.3955,0.0044,256.65,0.03,0.2,0.0,*,1,1,Gaia DR3 421265240102120960,Gaia DR3 421265240102120832,.,.
00551+6422,ES  118,AB,13.7708,64.3681,2020.9225,V,2.4648,0.0014,63.9,0.03,0.4,0.0,*,1,1,Gaia DR3 524216843136836992,Gaia DR3 524216877496871936,.,.
00551+6422,ES  118,AB,13.7708,64.3681,2020.9225,y,2.4476,0.002,63.95,0.05,0.4,0.0,*,1,1,Gaia DR3 524216843136836992,Gaia DR3 524216877496871936,.,.
06462+3418,ES  176AB,AB,101.5542,34.2953,2022.0985,V,10.6491,0.0,72.67,0.0,4.0,0.0,:,4,2,Gaia DR3 938676239393484928,,.,$
06462+3418,ES  176AB,AB,101.5542,34.2953,2022.0985,y,10.65,0.0001,72.23,0.0,3.8,0.0,:,1,1,Gaia DR3 938676239393484928,,.,$
06462+3418,ES  176AC,AC,101.5542,34.2953,2022.0985,V,12.7602,0.0,105.51,0.0,4.0,0.0,:,4,2,Gaia DR3 938676239393484928,,.,$
06462+3418,ES  176AC,AC,101.5542,34.2953,2022.0985,y,12.8136,0.0001,105.45,0.0,3.4,0.0,:,1,1,Gaia DR3 938676239393484928,,.,$
22094+6406,ES  213,AB,332.3375,64.0986,2021.7154,y,6.2692,0.0166,236.16,0.15,4.7,0.0,*,1,1,Gaia DR3 2206137924718492032,Gaia DR3 2206137920421529600,.,.
00008+3647,ES  221,AB,0.2042,36.78,2021.8463,y,15.2526,0.019,233.5,0.07,4.6,0.0,:,1,1,Gaia DR3 2880169682463575936,Gaia DR3 2880169888622006272,.,.
02144+3810,ES  230,AB,33.5917,38.1636,2020.883,V,2.808,0.0037,302.91,0.08,0.8,0.0,:,1,1,Gaia DR3 331560175195465984,,.,$
00172+3508,ES  312,AB,4.2458,35.1542,2020.887,V,2.8318,0.0174,237.51,0.01,1.3,0.3,q,2,2,,,$,$
22069+3335,ES  385AB,AB,331.7333,33.5803,2021.6935,y,8.0187,0.113,72.12,0.81,6.4,0.0,*,1,1,Gaia DR3 1900042473179987712,,.,$
03150+4945,ES  462AB,AB,56.475,50.4192,2020.9378,C,3.0162,2.0112,171.53,38.21,4.5,0.0,:,1,1,Gaia DR3 436524021952722560,Gaia DR3 436524021946147840,.,.
03150+4945,ES  462AB,AB,56.475,50.4192,2020.9378,V,3.0206,0.0076,174.35,0.14,0.9,0.0,:,1,1,Gaia DR3 436524021952722560,Gaia DR3 436524021946147840,.,.
03166+4943,ES  463AB,AB,49.1458,49.7281,2021.9535,V,5.2929,0.0002,258.05,0.0,3.2,0.0,:,1,1,Gaia DR3 436532573226230912,Gaia DR3 436532573228213248,.,.
03166+4943,ES  463AB,AB,49.1458,49.7281,2021.9535,y,5.2986,0.0006,259.33,0.01,7.5,0.0,:,1,1,Gaia DR3 436532573226230912,Gaia DR3 436532573228213248,.,.
19364+4808,ES  491AB,AB,294.0792,48.1103,2021.7015,V,9.9368,0.0049,53.01,0.03,0.8,0.0,:,1,1,Gaia DR3 2128842016768035712,,.,$
21390+2826,ES  520,AB,324.7417,28.4414,2021.8848,V,9.4053,0.0089,35.58,0.05,0.4,0.0,:,1,1,,,$,$
03068+4545,ES  558,AB,46.6958,45.7506,2020.8831,y,8.4355,0.0091,0.3700000000000045,0.06,4.4,0.0,*,1,1,Gaia DR3 433385534727956096,Gaia DR3 433385633510694656,.,.
03336+4545,ES  561,AB,53.3875,45.7533,2021.0361,y,8.1891,0.0015,39.3,0.01,1.3,0.0,*,1,1,Gaia DR3 241786871855365376,Gaia DR3 241786906215103488,.,.
09020+4722,ES  598,AB,135.5,47.3628,2021.2168,V,8.5569,0.0159,265.94,0.11,3.7,0.0,*,1,1,Gaia DR3 1010966655017579648,,.,$
09020+4722,ES  598,AB,135.5,47.3628,2021.2168,y,8.517,0.0159,265.58,0.11,3.7,0.0,,1,1,Gaia DR3 1010966655017579648,,.,$
